,_Index,relation_num,active_level
1166,1166,1130,1
1167,1167,1116,1
1168,1168,1104,1
1169,1169,1108,1
1170,1170,1122,1
1171,1171,1136,1
1172,1172,1124,1
1173,1173,1090,1
1174,1174,1132,1
1175,1175,1132,1
1176,1176,1128,1
1177,1177,1180,1
1178,1178,1266,2
1179,1179,1330,2
1180,1180,1420,2
1181,1181,1522,2
1182,1182,1588,2
1183,1183,1632,2
1184,1184,1712,2
1185,1185,1800,3
1186,1186,1892,3
1187,1187,1962,3
1188,1188,2038,3
1189,1189,2084,3
1190,1190,2188,3
1191,1191,2272,4
1192,1192,2350,4
1193,1193,2418,4
1194,1194,2480,4
1195,1195,2564,4
1196,1196,2670,4
1197,1197,2778,4
1198,1198,2840,5
1199,1199,2912,5
1200,1200,2980,5
1201,1201,3074,5
1202,1202,3180,5
1203,1203,3264,5
1204,1204,3362,6
1205,1205,3450,6
1206,1206,3518,6
1207,1207,3628,6
1208,1208,3720,6
1209,1209,3782,6
1210,1210,3896,7
1211,1211,3970,7
1212,1212,4066,7
1213,1213,4164,7
1214,1214,4204,7
1215,1215,4328,7
1216,1216,4414,8
1217,1217,4536,8
1218,1218,4626,8
1219,1219,4718,8
1220,1220,4772,8
1221,1221,4904,9
1222,1222,5070,9
1223,1223,5100,9
1224,1224,5168,9
1225,1225,5252,9
1226,1226,5298,9
1227,1227,5280,9
1228,1228,5284,9
1229,1229,5290,9
1230,1230,5270,9
1231,1231,5276,9
1232,1232,5236,9
1233,1233,5276,9
1234,1234,5262,9
1235,1235,5270,9
1236,1236,5264,9
1237,1237,5290,9
1238,1238,5316,9
1239,1239,5252,9
1240,1240,5294,9
1241,1241,5284,9
1242,1242,5272,9
1243,1243,5324,9
1244,1244,5256,9
1245,1245,5218,9
1246,1246,5234,9
1247,1247,5360,9
1248,1248,5244,9
1249,1249,5300,9
1250,1250,5362,9
1251,1251,5308,9
1252,1252,5294,9
1253,1253,5308,9
1254,1254,5286,9
1255,1255,5254,9
1256,1256,5260,9
1257,1257,5300,9
1258,1258,5300,9
1259,1259,5294,9
1260,1260,5262,9
1261,1261,5314,9
1262,1262,5274,9
1263,1263,5364,9
1264,1264,5262,9
1265,1265,5250,9
1266,1266,5300,9
1267,1267,5296,9
1268,1268,5254,9
1269,1269,5230,9
1270,1270,5322,9
1271,1271,5302,9
1272,1272,5268,9
1273,1273,5262,9
1274,1274,5272,9
1275,1275,5266,9
1276,1276,5292,9
1277,1277,5278,9
1278,1278,5286,9
1279,1279,5328,9
1280,1280,5312,9
1281,1281,5272,9
1282,1282,5264,9
1283,1283,5292,9
1284,1284,5274,9
1285,1285,5350,9
1286,1286,5254,9
1287,1287,5264,9
1288,1288,5310,9
1289,1289,5224,9
1290,1290,5296,9
1291,1291,5260,9
1292,1292,5294,9
1293,1293,5294,9
1294,1294,5274,9
1295,1295,5280,9
1296,1296,5270,9
1297,1297,5250,9
1298,1298,5264,9
1299,1299,5280,9
1300,1300,5276,9
1301,1301,5298,9
1302,1302,5358,9
1303,1303,5330,9
1304,1304,5302,9
1305,1305,5290,9
1306,1306,5250,9
1307,1307,5306,9
1308,1308,5260,9
1309,1309,5240,9
1310,1310,5242,9
1311,1311,5286,9
1312,1312,5322,9
1313,1313,5266,9
1314,1314,5266,9
1315,1315,5260,9
1316,1316,5268,9
1317,1317,5190,9
1318,1318,5262,9
1319,1319,5296,9
1320,1320,5298,9
1321,1321,5290,9
1322,1322,5272,9
1323,1323,5308,9
1324,1324,5258,9
1325,1325,5292,9
1326,1326,5352,9
1327,1327,5278,9
1328,1328,5282,9
1329,1329,5260,9
1330,1330,5296,9
1331,1331,5224,9
1332,1332,5274,9
1333,1333,5254,9
1334,1334,5286,9
1335,1335,5230,9
1336,1336,5270,9
1337,1337,5260,9
1338,1338,5234,9
1339,1339,5314,9
1340,1340,5270,9
1341,1341,5252,9
1342,1342,5266,9
1343,1343,5294,9
1344,1344,5314,9
1345,1345,5320,9
1346,1346,5282,9
1347,1347,5282,9
1348,1348,5286,9
1349,1349,5294,9
1350,1350,5242,9
1351,1351,5266,9
1352,1352,5274,9
1353,1353,5266,9
1354,1354,5226,9
1355,1355,5320,9
1356,1356,5282,9
1357,1357,5302,9
1358,1358,5322,9
1359,1359,5316,9
1360,1360,5222,9
1361,1361,5318,9
1362,1362,5256,9
1363,1363,5244,9
1364,1364,5290,9
1365,1365,5252,9
1366,1366,5278,9
1367,1367,5278,9
1368,1368,5250,9
1369,1369,5258,9
1370,1370,5262,9
1371,1371,5302,9
1372,1372,5316,9
1373,1373,5290,9
1374,1374,5250,9
1375,1375,5272,9
1376,1376,5240,9
1377,1377,5268,9
1378,1378,5200,9
1379,1379,5302,9
1380,1380,5308,9
1381,1381,5256,9
1382,1382,5300,9
1383,1383,5272,9
1384,1384,5248,9
1385,1385,5286,9
1386,1386,5272,9
1387,1387,5274,9
1388,1388,5288,9
1389,1389,5268,9
1390,1390,5276,9
1391,1391,5278,9
1392,1392,5274,9
1393,1393,5312,9
1394,1394,5268,9
1395,1395,5278,9
1396,1396,5276,9
1397,1397,5298,9
1398,1398,5276,9
1399,1399,5294,9
1400,1400,5296,9
1401,1401,5302,9
1402,1402,5258,9
1403,1403,5316,9
1404,1404,5266,9
1405,1405,5300,9
1406,1406,5302,9
1407,1407,5262,9
1408,1408,5288,9
1409,1409,5250,9
1410,1410,5250,9
1411,1411,5342,9
1412,1412,5252,9
1413,1413,5212,9
1414,1414,5286,9
1415,1415,5276,9
1416,1416,5308,9
1417,1417,5284,9
1418,1418,5294,9
1419,1419,5284,9
1420,1420,5292,9
1421,1421,5292,9
1422,1422,5294,9
1423,1423,5262,9
1424,1424,5326,9
1425,1425,5228,9
1426,1426,5282,9
1427,1427,5168,9
1428,1428,5092,9
1429,1429,5020,9
1430,1430,4916,9
1431,1431,4874,9
1432,1432,4840,8
1433,1433,4748,8
1434,1434,4670,8
1435,1435,4586,8
1436,1436,4532,8
1437,1437,4442,8
1438,1438,4360,8
1439,1439,4314,7
1440,1440,4224,7
1441,1441,4188,7
1442,1442,4112,7
1443,1443,4062,7
1444,1444,4004,7
1445,1445,3972,7
1446,1446,3848,7
1447,1447,3848,7
1448,1448,3730,6
1449,1449,3680,6
1450,1450,3658,6
1451,1451,3584,6
1452,1452,3526,6
1453,1453,3506,6
1454,1454,3452,6
1455,1455,3356,6
1456,1456,3318,6
1457,1457,3278,5
1458,1458,3282,5
1459,1459,3250,5
